"TL0_1"	"TL0_2"	"TL0_3"	"TL1_1"	"TL1_2"	"TL1_3"
"LOC107797235"	805	932	1006	1444	1611	1582
"LOC107797158"	0	0	0	0	0	0
"LOC107797323"	0	0	0	0	0	0
"LOC107797372"	321	381	400	389	369	296
"LOC107797538"	589	529	612	509	654	729
"LOC107797714"	726	658	680	359	427	425
"LOC107797630"	0	0	0	0	0	0
"LOC107798427"	8629	9732	8963	28819	31745	30047
"LOC107797766"	0	0	0	0	0	0
"LOC107798509"	243	236	270	166	284	323
"LOC107798558"	852	810	809	666	676	844
"LOC107798101"	0	0	0	0	0	0
"LOC107798187"	0	0	1	0	0	2
"LOC107798369"	2	8	4	0	4	0
"LOC107798751"	15	36	6	5	2	4
"LOC107798278"	54	74	79	40	44	42
"LOC107798810"	170	155	166	196	244	244
"LOC107798962"	87	92	78	76	66	105
"TRNAP-AGG_1"	0	0	0	0	0	0
"LOC107799096"	1596	1666	1958	1245	1215	1365
"LOC107799244"	0	0	0	0	0	0
"LOC107799418"	40	53	58	31	66	72
"LOC107799577"	684	758	838	620	708	806
"LOC107799494"	8	60	97	1	3	52
"LOC107799664"	76	36	146	10	12	27
"LOC107799748"	84	113	96	83	51	63
"LOC107799899"	1081	1213	1501	1262	1240	1536
"LOC107799982"	159	195	154	110	122	123
"LOC107800076"	31	10	48	10	34	18
"LOC107800160"	48	54	29	16	43	29
"LOC107800249"	692	778	662	346	420	559
"LOC107800330"	0	0	0	0	0	0
"LOC107800407"	47	37	60	40	50	48
"LOC107800469"	0	0	0	0	2	0
"LOC107800556"	1007	793	1155	1654	1581	2055
"LOC107800797"	216	181	262	228	212	280
"LOC107800720"	0	2	6	0	0	2
"LOC107800995"	0	17	12	11	10	16
"LOC107801189"	513	424	451	220	253	288
"LOC107801280"	257	295	331	159	172	238
"LOC107801585"	240	194	274	171	202	222
"LOC107801668"	122	142	141	104	134	150
"LOC107802024"	119	164	104	125	151	113
"LOC107802231"	307	341	184	226	240	169
"LOC107802440"	0	0	0	0	0	0
"LOC107802527"	7	4	0	0	16	0
"LOC107802698"	2	10	0	2	4	2
"LOC107802772"	451	379	528	422	503	576
"TRNAS-UGA"	0	0	0	0	0	0
"LOC107802915"	89	106	128	353	302	338
"LOC107803061"	295	262	291	188	224	261
"LOC107803238"	1797	1761	2083	1606	1609	1918
"LOC107803463"	654	530	593	515	506	511
"LOC107803555"	4608	3470	4537	6626	7385	7612
"TRNAM-CAU_1"	0	0	0	0	0	0
"LOC107803749"	0	0	0	0	2	5
"LOC107803828"	1412	329	1355	166	180	154
"LOC107803988"	83	54	85	28	22	53
"LOC107804150"	135	94	108	73	60	107
"LOC107803914"	4	9	10	2	2	2
"LOC107804306"	1375	1390	1602	860	1030	1174
"LOC107804396"	137	135	159	105	100	165
"LOC107804531"	354	348	535	617	397	623
"LOC107804673"	307	239	250	188	242	218
"LOC107804225"	0	0	0	0	0	0
"LOC107804732"	318	282	386	168	170	185
"LOC107804928"	266	300	776	648	589	2419
"LOC107805008"	6	4	4	24	40	19
"LOC107805347"	1652	1672	1797	1320	1294	1404
"LOC107805428"	429	332	521	213	219	242
"LOC107805268"	0	2	2	0	0	2
"LOC107805511"	5	10	14	12	1	9
"LOC107805659"	6006	5652	5586	8560	7885	6865
"LOC107805798"	5	19	7	13	39	22
"LOC107805997"	4	0	2	0	2	4
